pk,game_developer,country,year_established,best_selling_game_fk
1,Re-Logic,USA,2011,1
2,ConcernedApe,USA,2016,2
3,Chucklefish,UK,2011,3
4,Klei Entertainment ,Canada,2005,4
5,Pathea,China ,2010,5
6,Gearbox Software,USA,1999,6
7,No Brakes Games,Spain,2019,7
8,The Behemoth,USA,2003,8
9,Berserk Games,USA,2014,9
10,Ludeon Studios,Canada,2013,34
11,Techland,Poland,1991,11
12,The Fun Pimps,USA,2012,12
13,Valve,USA,1996,31
14,tobyfox,USA,2015,14
15,Matt Makes Games Inc.,Canada,2013,15
16,Future Cat LLC,Poland,2014,16
17,Wube Software LTD,Czech Republic,2014,17
18,Firaxis Games,USA,1996,18
19,Wild Shadow Studios,USA,2008,19
20,SCS Software,Czech Republic,1997,32
21,HFM Games,Russia,2015,21
22,Northwood Studios,Poland,2017,22
23,BlankMediaGames,USA,2014,23
24,DONTNOD Entertainment,France,2008,24
25,Telltale,USA ,2004,33
26,Fishing Planet LLC,USA ,2012,26
27,Giants Software,Switzerland,2004,27
28,Rockstar North,USA,1998,35
29,Studio MDHR Entertainment ,Canada,2013,29 
30,Lucas Pope,USA ,2013,30
